"filename", "language", "CMake", "C", "JSON with Comments", "C++", "x86 and x86_64 Assembly", "Shell Script", "Batch", "CMake Cache", "JSON", "Log", "comment", "blank", "total"
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\memory.h", "C", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 58
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\syscall.h", "C", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 8, 5, 57
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\core\task.h", "C", 0, 86, 0, 0, 0, 0, 0, 0, 0, 0, 8, 25, 119
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\cpu.h", "C", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 8, 15, 83
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\irq.h", "C", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 111
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\cpu\mmu.h", "C", 0, 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 79
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\console.h", "C++", 0, 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 12, 94
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\dev.h", "C++", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 7, 40
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\kbd.h", "C", 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 71
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\time.h", "C++", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\dev\tty.h", "C++", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 3, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\fs\fs.h", "C", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\mutex.h", "C", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 23
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\ipc\sem.h", "C", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\os_cfg.h", "C", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 8, 8, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\bitmap.h", "C", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 29
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\klib.h", "C", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 8, 7, 46
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\list.h", "C++", 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 12, 66
"e:\ubuntu\diy-x86os\start\start\source\kernel\include\tools\log.h", "C", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task.c", "C", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 12, 3, 52
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\first_task_entry.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.c", "C", 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 14, 12, 83
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\init.h", "C++", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 5, 8
"e:\ubuntu\diy-x86os\start\start\source\kernel\init\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 421, 0, 0, 0, 0, 0, 0, 96, 517
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\mutex.c", "C", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 63
"e:\ubuntu\diy-x86os\start\start\source\kernel\ipc\sem.c", "C", 0, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 51
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\bitmap.c", "C", 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\klib.c", "C", 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14, 261
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\list.c", "C", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 84
"e:\ubuntu\diy-x86os\start\start\source\kernel\tools\log.c", "C", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 12, 11, 68
"e:\ubuntu\diy-x86os\start\start\source\loader\CMakeLists.txt", "CMake", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"e:\ubuntu\diy-x86os\start\start\source\loader\loader.h", "C++", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 8, 25
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_16.c", "C", 0, 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 80
"e:\ubuntu\diy-x86os\start\start\source\loader\loader_32.c", "C", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 97
"e:\ubuntu\diy-x86os\start\start\source\loader\start.S", "x86 and x86_64 Assembly", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"e:\ubuntu\diy-x86os\start\start\source\shell\CMakeLists.txt", "CMake", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 25
"e:\ubuntu\diy-x86os\start\start\source\shell\main.c", "C", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 8, 1, 26
"e:\ubuntu\diy-x86os\start\start\start.code-workspace", "JSON with Comments", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30
"Total", "-", 421, 4315, 40, 323, 510, 35, 26, 324, 3578, 962729, 436, 1104, 973841
